Variable name,Type,Dim1,Dim2,Dim3,Dim1_description,Dim2_description,Dim3_description
fec,stochastic,5,NA,NA,sea age,,
zz,stochastic,39,6,6,year,sea age,fleet
zzr,stochastic,39,6,NA,year,sea age,
zzc,stochastic,39,6,NA,year,sea age,
zzdc,stochastic,39,6,NA,year,sea age,
HrW,stochastic,42,6,NA,year,sea age,
HRCTN,stochastic,6,3,NA,sea age,AU,
HRCGN,stochastic,6,3,NA,sea age,AU,
logit_qdW,stochastic,44,6,NA,year ,sea age,
rrR,stochastic,6,NA,NA,sea age,,
p.rel,stochastic,45,NA,NA,year,,
delta,stochastic,4,NA,NA,sea age,,
LReffect,stochastic,4,NA,NA,sea age,,
bL,stochastic,4,NA,NA,sea age,,
tauL,stochastic,4,NA,NA,sea age,,
p.ladder,stochastic,45,17,NA,year,stock,
surv_migr,stochastic,45,17,NA,year,stock,
K,stochastic,17,NA,NA,stock,,
logit_M74,stochastic,39,17,NA,year,stock,
Parr,stochastic,41,17,NA,year,stock,
SmoltW,stochastic,42,17,NA,year,stock,
qcgnW,stochastic,6,3,NA,sea age,AU,
qcgnR,stochastic,6,3,NA,sea age,AU,
qctnW,stochastic,6,3,NA,sea age,AU,
qctnR,stochastic,6,3,NA,sea age,AU,
cL,stochastic,45,NA,NA,year,,
pTrap,stochastic,39,2,NA,year,reared stock,
error_SR,stochastic,39,17,NA,year,stock,
MpsW,stochastic,40,NA,NA,year,,
logit_pdetect,stochastic,44,17,NA,year,stock,
kE,stochastic,39,6,6,year,sea age,fleet
kEdc,stochastic,39,6,NA,year,sea age,
kEc,stochastic,39,6,NA,year,sea age,
alphaSR,scenarios,17,NA,NA,stock,,
betaSR,scenarios,17,NA,NA,stock,,
R0,scenarios,42,17,NA,year,stock,
z,scenarios,40,17,NA,year,stock,
SmoltR,scenarios,40,4,NA,year,AU,
NccW,scenarios,40,6,17,year,sea age,stock
NccR,scenarios,40,6,4,year,sea age,AU (reared stocks)
MpsR,scenarios,40,NA,NA,year,,
LR,scenarios,45,6,NA,year,sea age,
LW,scenarios,45,6,NA,year,sea age,
M74,scenarios,39,17,NA,year,stock,
